Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,395,376.3,771.3
5-9,397.5,379.4,776.9
10-14,366.5,344.3,710.8
15-19,360.9,339.4,700.3
20-24,365.9,347.2,713.1
25-29,360.3,343.2,703.6
30-34,356.6,340.7,697.3
35-39,336.8,322.7,659.5
40-44,313.8,301.5,615.3
45-49,277.3,267.3,544.6
50-54,232.9,225.7,458.6
55-59,190.3,185,375.3
60-64,146.9,142.4,289.2
65-69,104.9,103.3,208.2
70-74,60.7,63.3,124.1
75+,53.7,65.7,119.4
Jumlah/Total,4320.1,4147.4,8467.4
