Kabupaten/Kota 17,
,Jumlah Kasus Kekerasan Menurut Kabupaten Kota dan Jenis Kelamin di Provinsi Sumatera Selatan
,2022
Sumatera Selatan,408
Ogan Komering Ulu,29
Ogan Komering Ilir,31
Muara Enim,24
Lahat,51
Musi Rawas,39
Musi Banyuasin,3
Banyuasin,31
Ogan Komering Ulu Selatan,3
Ogan Komering Ulu Timur,2
Ogan Ilir,46
Empat Lawang,15
Pali,14
Musi Rawas Utara,7
Palembang,59
Prabumulih,14
Pagar Alam,36
Lubuk Linggau,4
