Kabupaten/Kota,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Ogan Komering Ulu,2067,82,369,451
Ogan Komering Ilir,5131,304,1126,1430
Muara Enim,3814,226,703,929
Lahat,2302,230,622,852
Musi Rawas,3064,...,...,...
Musi Banyuasin,4152,191,778,969
Banyu Asin,5588,207,835,1042
Ogan Komering Ulu Selatan,1994,99,345,444
Ogan Komering Ulu Timur,4284,210,626,836
Ogan Ilir,2793,...,...,...
Empat Lawang,1421,...,...,...
Penukal Abab Lematang Ilir,1135,...,...,...
Musi Rawas Utara,1154,...,...,...
Kota Palembang,8919,605,1991,2596
Kota Prabumulih,1013,86,266,352
Kota Pagar Alam,851,71,202,273
Kota Lubuklinggau,1664,258,1018,1276
Sumatera Selatan,51346,2569,8881,11450
,,,,
Keterangan,,,,
"<sup>1</sup> Data perceraian yang telah diputus oleh Pengadilan tetapi akta cerainya belum tercetak/<i>Divorce data that has been ruled but the divorce certificate has not been printed</i><sup>2</sup> Termasuk bedolan (nikah di luar KUA)/<i>Including registration conducted outside the Religious Affairs Office (KUA), Divorce data that has been ruled but the divorce certificate has not been printed</i><sup>3</sup> Hanya untuk yang beragama Islam/<i>Applies only for moslem</i>",,,,
