Kabupaten/Kota,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
Ogan Komering Ulu,1164643,1772368,1548405,1389032
Ogan Komering Ilir,1913230,2773251,2198910,2105053
Muara Enim,1407479,2060247,1499429,1487470
Lahat,1424745,2177025,1503597,1597063
Musi Rawas,1663924,1876738,1718578,1694338
Musi Banyuasin,2437999,2320137,2403946,2415678
Banyu Asin,2641981,1906586,2005708,2397537
Ogan Komering Ulu Selatan,1068001,1327309,1369976,1167018
Ogan Komering Ulu Timur,1219191,1584693,1424647,1322883
Ogan Ilir,1367551,1483929,2077382,1639946
Empat Lawang,1069334,1619388,1747303,1364698
Penukal Abab Lematang Ilir,1336128,1750597,1593756,1455086
Musi Rawas Utara,1838754,2036773,2202548,1968165
Kota Palembang,NA,2446736,2315536,2321726
Kota Prabumulih,1280949,1573495,1674859,1552232
Kota Pagar Alam,1675586,1868480,2015427,1865778
Kota Lubuklinggau,1253798,NA,1545695,2373799
Sumatera Selatan,1698133,2185740,1983218,1880783
,,,,
Keterangan,,,,
<sup>,,,,
"1</sup> Pekerja Informal/ Informal Employee : Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/ Employment   status are self employed, casual agricultural worker, and casual non-agricultural worker ",,,,
"<sup>2</sup> Pertanian: Pertanian, Perkebunan, Kehutanan, Perburuan, dan Perikanan/ <i>Agriculture: Agriculture, Forestry, Hunting, and Fisherie</i> ",,,,
" Industri: Pertambangan dan Penggalian, Industri, Listrik, Gas, dan Air Minum, Konstruksi/ <i>Manufacture: Mining, Manufacturing Industry, Electricity, Gas,   Water, and Construction</i>. ",,,,
" Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi, Transportasi, Pergudangan dan Komunikasi, Lembaga Keuangan, Real Estate, Usaha Persewaan dan Jasa Perusahaan, Jasa Kemasyarakatan, Sosial dan Perorangan/ <i>Services: Wholesale Trade, Retail Trade, Restaurants and Hotels,   Transportation, Warehousing, and Communication, Financing, Insurance, Real Estate, Business Services, and Public Service </i>",,,,
