Kabupaten/Kota 17,,,,,,,
,Jumlah Murid (Jiwa),,,,,,
,SD,Madrasah Ibtidaiyah,SMP,Madrasah Tsanawiyah,SMA,Madrasah Aliyah,SMK
,2022,2022,2022,2022,2022,2022,2022
Sumatera Selatan,882534,98053,354086,94428,212414,48248,123651
Ogan Komering Ulu,37827,4481,16135,3875,10476,2164,4908
Ogan Komering Ilir,85768,8495,29626,9472,14437,4221,10624
Muara Enim,67133,6796,25739,6243,13925,3482,10261
Lahat,40950,4278,17800,4259,12243,1733,6213
Musi Rawas,42706,2960,16501,3707,11405,2307,2671
Musi Banyuasin,82820,6260,31861,6071,16530,2267,9209
Banyuasin,96606,8282,30156,12299,16908,6448,7063
Ogan Komering Ulu Selatan,36954,2178,13002,4262,8184,2020,2934
Ogan Komering Ulu Timur,61833,12448,24528,12525,12493,5712,10710
Ogan Ilir,44249,3567,15644,9462,8509,5787,6594
Empat Lawang,25177,865,10019,1742,7316,282,2373
Pali,24464,1306,11027,1420,6518,480,3195
Musi Rawas Utara,22087,2206,7170,1961,5638,796,830
Palembang,152816,28097,77095,11022,49691,5568,32871
Prabumulih,22236,1451,9076,1957,5624,1058,5689
Pagar Alam,13765,2387,6399,1676,4672,956,2416
Lubuk Linggau,25203,1996,12308,2475,7845,2607,5090
