Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,391.9,373.4,765.3
5-9,398.9,381.4,780.3
10-14,370.6,349.1,719.7
15-19,358.8,336.8,695.5
20-24,362.9,344.3,707.2
25-29,359.2,342.2,701.4
30-34,356.2,340.6,696.8
35-39,339.1,325.2,664.2
40-44,317.9,305.3,623.2
45-49,283.8,273.5,557.3
50-54,239.6,232.5,472.1
55-59,196.2,191.4,387.6
60-64,152.3,148.6,300.9
65-69,110.2,108.8,219.1
70-74,65.7,68.3,134
75+,56.7,69.5,126.2
Jumlah/Total,4360.1,4190.8,8550.8
,,,
Keterangan,,,
Hasil Proyeksi Penduduk Interim 2020-2023 (mid year/June),,,
