Kabupaten/Kota 17,,,,,,,
,Jumlah Murid (Jiwa),,,,,,
,SD,Madrasah Ibtidaiyah,SMP,Madrasah Tsanawiyah,SMA,Madrasah Aliyah,SMK
,2019,2019,2019,2019,2019,2019,2019
Sumatera Selatan,926957,89053,355000,83903,210111,39763,210111
Ogan Komering Ulu,41095,3724,16216,2911,10855,1893,10855
Ogan Komering Ilir,92013,7815,29488,8363,14404,3517,14404
Muara Enim,67988,5997,27610,6071,13182,2675,13182
Lahat,43152,3050,18077,3526,13405,1193,13405
Musi Rawas,44475,2793,17467,3377,10899,1949,10899
Musi Banyuasin,86892,6149,29474,6004,16339,2394,16339
Banyuasin,100335,8142,29133,11341,16477,5230,16477
Ogan Komering Ulu Selatan,40332,1763,13878,3904,8150,1599,8150
Ogan Komering Ulu Timur,66772,11088,22506,10526,12116,4915,12116
Ogan Ilir,45496,2876,15398,8450,8458,4331,8458
Empat Lawang,27390,908,11568,1841,6849,240,6849
Pali,26581,1244,10370,1159,6575,380,6575
Musi Rawas Utara,23098,2023,7547,1823,5512,778,5512
Palembang,158625,27164,77809,9371,48886,4997,48886
Prabumulih,22311,838,9616,1584,5533,633,5533
Pagar Alam,14277,1882,6378,1623,4438,806,4438
Lubuk Linggau,26125,1597,12465,2029,8033,2233,8033
