Keadaan Tenaga Kerja,
,Keadaan Tenaga Kerja
,2025
Penduduk yang Bekerja (Orang),4492574
Penganggur (Orang),66217
Jumlah Angkatan Kerja (Orang),4664935
Tingkat Pengangguran (%),3.69
