Kabupaten/Kota,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Ogan Komering Ulu,2614,119,445,564
Ogan Komering Ilir,6188,345,1141,1486
Muara Enim,4224,205,743,948
Lahat,3203,194,601,795
Musi Rawas,3195,...,...,...
Musi Banyuasin,4696,186,636,822
Banyu Asin,6627,168,760,928
Ogan Komering Ulu Selatan,2475,85,307,392
Ogan Komering Ulu Timur,4758,176,629,805
Ogan Ilir,3154,...,...,...
Empat Lawang,1790,...,...,...
Penukal Abab Lematang Ilir,1258,...,...,...
Musi Rawas Utara,1299,...,...,...
Kota Palembang,10405,552,2028,2580
Kota Prabumulih,1214,98,232,330
Kota Pagar Alam,987,51,191,242
Kota Lubuklinggau,1900,294,1006,1300
Sumatera Selatan,59987,2473,8719,11192
,,,,
Keterangan,,,,
1Termasuk bedolan (nikah di luar KUA)/Including registration conducted outside the Religious Affairs Office (KUA)2Hanya untuk yang beragama Islam/Applies only for moslem5Data cerai 2021 masih bergabung dengan Provinsi Riau/Data of divorces 2021 were included in Riau Province6Data cerai 2021 masih bergabung dengan Provinsi Nusa Tenggara Barat/Data of divorces 2021 were included in Nusa Tenggara Barat Province7Data cerai 2021 masih bergabung dengan Provinsi Kalimantan Timur/Data of divorces 2021 were included in Kalimantan Timur Province8Data cerai 2021 masih bergabung dengan Provinsi Sulawesi Selatan/Data of divorces 2021 were included in Sulawesi Selatan Province9Data cerai 2021 masih bergabung dengan Provinsi Papua/Data of divorces 2021 were included in Papua Province,,,,
