Kabupaten/Kota 17,,,
,IMB Aneka Investasi (Juta Rupiah),,
,"Makanan, Minuman, dan Tembakau",Barang Kayu dan Hasil Hutan,Jumlah
,2021,2021,2021
Sumatera Selatan,815036892504,7889734405,819428181271
Ogan Komering Ulu,-,802848861,-
Ogan Komering Ilir,6064224385,1500000,6867073446
Muara Enim,386041193,-,387541193
Lahat,3887162042,1000000,388716204
Musi Rawas,2506798099,1385466415,2507798099
Musi Banyuasin,5449080624,4725262347,6834547039
Banyuasin,3618497357,-,8343759704
Ogan Komering Ulu Selatan,6960000,-,6960000
Ogan Komering Ulu Timur,2144402610,895442082,2144402610
Ogan Ilir,1575097212,-,2470539294
Empat Lawang,234972124,-,234972124
Pali,1574000,-,1574000
Musi Rawas Utara,931709100,78214700,931709100
Palembang,788130077085,-,788208291785
Prabumulih,3482200,-,3482200
Pagar Alam,96814473,-,96814473
Lubuk Linggau,-,-,-
