Kabupaten/Kota,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Ogan Komering Ulu,2841,117,451,568
Ogan Komering Ilir,6525,267,960,1227
Muara Enim,4848,265,740,1005
Lahat,3398,171,502,673
Musi Rawas,3253,...,...,...
Musi Banyuasin,5786,157,600,757
Banyu Asin,6845,119,512,631
Ogan Komering Ulu Selatan,2575,71,251,322
Ogan Komering Ulu Timur,4847,195,611,806
Ogan Ilir,4276,...,...,...
Empat Lawang,1907,...,...,...
Penukal Abab Lematang Ilir,1931,...,...,...
Musi Rawas Utara,1437,...,...,...
Kota Palembang,11874,524,1976,2500
Kota Prabumulih,1311,75,207,282
Kota Pagar Alam,1146,53,221,274
Kota Lubuklinggau,1928,293,891,1184
Sumatera Selatan,66728,2307,7922,10229
,,,,
Keterangan,,,,
<sup>1 </sup>Termasuk bedolan (nikah di luar KUA)/<i>Including registration conducted outside the Religious Affairs Office (KUA)</i><sup>2 </sup>Hanya untuk yang beragama Islam/<i>Applies only for moslem</i>,,,,
