Kabupaten/Kota 17,,,
,IMB Aneka Investasi (Juta Rupiah),,
,"Makanan, Minuman, dan Tembakau",Barang Kayu dan Hasil Hutan,Jumlah
,2025,2025,2025
Sumatera Selatan,129535617460,195201399,129730818859
Ogan Komering Ulu,376158,5626,381784
Ogan Komering Ilir,5415392,1656034,7071426
Muara Enim,142722612,41807,142764419
Lahat,78721571,0,78721571
Musi Rawas,2215472,2000,2217472
Musi Banyuasin,14424821,528393,14953214
Banyuasin,17457230,5182677,22639907
Ogan Komering Ulu Selatan,93610,0,93610
Ogan Komering Ulu Timur,2807590,13399,2820989
Ogan Ilir,1669358,1800901,3470259
Empat Lawang,303995,52400,356395
Pali,3594,0,3594
Musi Rawas Utara,721191,0,721191
Palembang,128907994904,185918162,129093913066
Prabumulih,310000,0,310000
Pagar Alam,143403803,0,143403803
Lubuk Linggau,216976159,0,216976159
