Keadaan Tenaga Kerja,
,Keadaan Tenaga Kerja
,2019
Penduduk yang Bekerja (Orang),4012611
Penganggur (Orang),190204
Jumlah Angkatan Kerja (Orang),4202815
Tingkat Pengangguran (%),4.53
