Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,390.9,372.5,763.5
5-9,399.1,381.8,780.9
10-14,377.2,356.7,733.9
15-19,358.1,335.7,693.8
20-24,360.6,341.7,702.2
25-29,359.3,342.6,701.9
30-34,355.9,340.6,696.5
35-39,342.4,328.7,671.1
40-44,322.1,309.2,631.3
45-49,290.9,280.2,571.1
50-54,247.2,240,487.2
55-59,202.6,198.2,400.8
60-64,158.4,155.4,313.8
65-69,115.5,114.4,229.9
70-74,71.2,73.9,145.1
75+,60.3,73.8,134.2
Jumlah/Total,4411.6,4245.4,8657
,,,
Keterangan,,,
Hasil Proyeksi Penduduk Interim 2020-2023 (mid year/June),,,
