Kabupaten/Kota 17,,,,,,,
,Jumlah Murid (Jiwa),,,,,,
,SD,Madrasah Ibtidaiyah,SMP,Madrasah Tsanawiyah,SMA,Madrasah Aliyah,SMK
,2021,2021,2021,2021,2021,2021,2021
Sumatera Selatan,896170,96370,359328,93621,210175,47908,129647
Ogan Komering Ulu,38799,4213,16166,3649,10842,2159,4992
Ogan Komering Ilir,87668,8723,30365,9545,14310,4311,10031
Muara Enim,67485,6443,26516,6198,13756,3567,10768
Lahat,41563,4086,18278,4075,12524,1725,6618
Musi Rawas,43189,2748,17151,3437,11544,2311,2625
Musi Banyuasin,84154,6166,31446,6191,16238,2306,9210
Banyuasin,97561,8287,30078,12237,16387,6353,7243
Ogan Komering Ulu Selatan,38209,2058,13281,4057,8312,1859,2928
Ogan Komering Ulu Timur,64126,12128,23691,12303,11900,5632,10826
Ogan Ilir,44417,3395,16167,9547,8458,5932,6835
Empat Lawang,26348,859,10702,1784,7426,257,2509
Pali,25280,1230,10940,1411,6453,499,3058
Musi Rawas Utara,22234,2227,7477,1978,5679,879,849
Palembang,153835,28351,78269,11322,48292,5685,36925
Prabumulih,22219,1323,9595,1843,5510,938,5798
Pagar Alam,13887,2237,6374,1666,4643,996,3108
Lubuk Linggau,25196,1896,12832,2378,7901,2499,5324
