Keadaan Tenaga Kerja,
,Keadaan Tenaga Kerja
,2023
Penduduk yang Bekerja (Orang),4399659
Penganggur (Orang),188511
Jumlah Angkatan Kerja (Orang),4588170
Tingkat Pengangguran (%),4.11
