Kabupaten/Kota,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
Ogan Komering Ulu,1243477,1363533,1107468,1191303
Ogan Komering Ilir,1745998,1428429,1656413,1673043
Muara Enim,1455668,1602089,1292176,1400950
Lahat,1005393,1216706,1122396,1076212
Musi Rawas,1175473,1950782,1346900,1360409
Musi Banyuasin,1575253,1793702,1444242,1554351
Banyu Asin,1823014,2138461,1534252,1757945
Ogan Komering Ulu Selatan,1116593,1847414,1042572,1178417
Ogan Komering Ulu Timur,903519,1336430,1028460,1003554
Ogan Ilir,922724,975530,1247936,1054032
Empat Lawang,741667,771825,934831,787843
Penukal Abab Lematang Ilir,1034283,NA,1390175,1242596
Musi Rawas Utara,1083878,1156208,1580439,1224964
Kota Palembang,1224404,1769957,1512987,1556638
Kota Prabumulih,1303199,1415904,1252577,1284283
Kota Pagar Alam,978801,1743162,1321617,1221888
Kota Lubuklinggau,1043510,1309161,1315060,1259874
Sumatera Selatan,1330816,1557000,1385038,1385134
,,,,
Keterangan,,,,
"<sup>1 </sup>Pekerja Informal/ <i>Informal Employee</i> : Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/<i> Employment   status are self employed, casual agricultural worker, and casual non-agricultural worker </i><sup>",,,,
"2 </sup>Pertanian: Pertanian, Perkebunan, Kehutanan, Perburuan, dan Perikanan/ <i>Agriculture: Agriculture, Forestry, Hunting, and Fisherie </i>",,,,
" Industri: Pertambangan dan Penggalian, Industri, Listrik, Gas, dan Air Minum, Konstruksi/ <i>Manufacture: Mining, Manufacturing Industry, Electricity, Gas,   Water, and Construction. </i>",,,,
" Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi, Transportasi, Pergudangan dan Komunikasi, Lembaga Keuangan, Real Estate, Usaha Persewaan dan Jasa Perusahaan, Jasa Kemasyarakatan, Sosial dan Perorangan/<i> Services: Wholesale Trade, Retail Trade, Restaurants and Hotels,   Transportation, Warehousing, and Communication, Financing, Insurance, Real Estate, Business Services, and Public Service</i>",,,,
