Kabupaten/Kota 17,
,Jumlah Kasus Kekerasan Menurut Kabupaten Kota dan Jenis Kelamin di Provinsi Sumatera Selatan
,2023
Sumatera Selatan,556
Ogan Komering Ulu,14
Ogan Komering Ilir,59
Muara Enim,60
Lahat,31
Musi Rawas,0
Musi Banyuasin,0
Banyuasin,39
Ogan Komering Ulu Selatan,12
Ogan Komering Ulu Timur,28
Ogan Ilir,76
Empat Lawang,0
Pali,28
Musi Rawas Utara,6
Palembang,92
Prabumulih,28
Pagar Alam,56
Lubuk Linggau,27
