Kabupaten/Kota 17,,,,,,,
,Jumlah Murid (Jiwa),,,,,,
,SD,Madrasah Ibtidaiyah,SMP,Madrasah Tsanawiyah,SMA,Madrasah Aliyah,SMK
,2024,2024,2024,2024,2024,2024,2024
Sumatera Selatan,884020,98758,361146,82142,226406,47757,129320
Ogan Komering Ulu,36557,4911,16587,3634,11523,2402,5833
Ogan Komering Ilir,84874,8242,29788,7744,15893,4278,11147
Muara Enim,66841,6942,27947,5400,13410,3211,10599
Lahat,41318,4188,17429,3732,12052,1654,6431
Musi Rawas,41613,2984,17102,3352,11390,2455,2834
Musi Banyuasin,84655,6051,32611,5192,18491,2571,10101
Banyuasin,98272,8667,31581,10481,17940,6495,7301
Ogan Komering Ulu Selatan,37157,2312,13207,3738,8625,2055,2762
Ogan Komering Ulu Timur,59722,12888,25346,11133,14451,5543,12846
Ogan Ilir,44209,3723,15797,7690,9673,5267,6999
Empat Lawang,24722,830,9189,2039,7065,291,2162
Pali,23936,1222,10707,1363,7284,421,3654
Musi Rawas Utara,21520,2127,7493,1970,5797,648,732
Palembang,156829,27567,77675,8675,53080,5524,33408
Prabumulih,21721,1728,9871,1695,6050,1010,5373
Pagar Alam,14186,2193,6575,1646,5218,996,2400
Lubuk Linggau,25888,2183,12241,2658,8464,2936,4738
