Kabupaten/Kota 17,,,
,IMB Aneka Investasi (Juta Rupiah),,
,"Makanan, Minuman, dan Tembakau",Barang Kayu dan Hasil Hutan,Jumlah
,2024,2024,2024
Sumatera Selatan,906030456,10275188,916305644
Ogan Komering Ulu,-,-,-
Ogan Komering Ilir,5395033,1283998,6679031
Muara Enim,274213068,41808,274254876
Lahat,55564797,0,55564797
Musi Rawas,1157617,2000,1159617
Musi Banyuasin,10763871,2139743,12903614
Banyuasin,51222351,5055802,56278153
Ogan Komering Ulu Selatan,6960,0,6960
Ogan Komering Ulu Timur,2306410,13400,2319810
Ogan Ilir,1527648,1602291,3129939
Empat Lawang,303995,52400,356395
Pali,3595,0,3595
Musi Rawas Utara,267791069,0,267791069
Palembang,235422050,83747,235505797
Prabumulih,2200,0,2200
Pagar Alam,132814,0,132814
Lubuk Linggau,216976,0,216976
