Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,380.2,363.6,743.7
5-9,397.6,379.9,777.5
10-14,384.5,364.9,749.3
15-19,359,336.7,695.7
20-24,360.2,340.4,700.6
25-29,361.6,344.1,705.7
30-34,356.5,340,696.6
35-39,347,331.9,678.9
40-44,324.9,312,636.9
45-49,296.4,286.1,582.5
50-54,254.5,247.3,501.8
55-59,208.7,204.9,413.6
60-64,164.1,162.5,326.6
65-69,120,119.9,239.8
70-74,76.1,79,155.1
75+,62.7,76.4,139.1
Jumlah/Total,4453.9,4289.6,8743.5
