Keadaan Tenaga Kerja,
,Keadaan Tenaga Kerja
,2020
Penduduk yang Bekerja (Orang),4091383
Penganggur (Orang),238363
Jumlah Angkatan Kerja (Orang),4329746
Tingkat Pengangguran (%),5.51
