Kabupaten/Kota,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Ogan Komering Ulu,2180,127,545,672
Ogan Komering Ilir,5123,206,845,1051
Muara Enim,3924,166,627,793
Lahat,2945,148,526,674
Musi Rawas,2993,188,651,839
Musi Banyuasin,4584,179,724,903
Banyu Asin,5889,174,837,1011
Ogan Komering Ulu Selatan,2540,85,391,476
Ogan Komering Ulu Timur,4393,194,717,911
Ogan Ilir,2682,78,342,420
Empat Lawang,1540,45,141,186
Penukal Abab Lematang Ilir,1084,49,178,227
Musi Rawas Utara,1184,47,146,193
Kota Palembang,8990,531,2028,2559
Kota Prabumulih,1020,67,285,352
Kota Pagar Alam,925,51,174,225
Kota Lubuklinggau,1587,98,468,566
Sumatera Selatan,53583,2433,9625,12058
,,,,
Keterangan,,,,
"<sup>1</sup>Termasuk bedolan (nikah di luar KUA)/<i>Including registration conducted outside the Religious Affairs Office (KUA)</i><sup>2</sup>Hanya untuk yang beragama Islam/<i>Applies only for moslem</i><sup>3</sup>Data Perceraian per Provinsi berdasarkan Domisili Penggugat/<i>Divorce Data per Province based on Plaintiff&#39;s Domicile</i><sup>4</sup>Data Perceraian Provinsi Papua Barat mencakup Provinsi Papua Barat Daya/<i>Divorce Data of Papua Barat Province included Papua Barat Daya Province</i><sup>5</sup>Data Perceraian Provinsi Papua mencakup Provinsi Papua Selatan, Papua Tengah, dan Papua Pegunungan/<i>Divorce Data of Papua Province included Papua Selatan, Papua Tengah, and Papua Pegunungan Provinces</i><sup>6</sup>Data perceraian hanya mencakup data penggugat yang berdomisili di Indonesia/<i>Divorce data only includes data on plaintiffs domiciled in Indonesia</i>",,,,
