Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,371.2,356.1,727.3
5-9,392.1,374,766.1
10-14,395.7,377.8,773.5
15-19,364,342.2,706.1
20-24,357,336.4,693.4
25-29,361.6,343.7,705.3
30-34,356.1,339.3,695.4
35-39,351.9,336.3,0.7
40-44,331.6,318.3,649.9
45-49,307.2,296.7,604
50-54,268.9,261.6,530.5
55-59,221.9,218.7,440.7
60-64,176.1,176.3,352.4
65-69,129.9,131.5,261.4
70-74,86.2,90.1,176.2
75+,71.3,86.8,158.1
Jumlah/Total,4542.6,4385.9,8928.5
,,,
Keterangan,,,
Hasil Proyeksi Penduduk Indonesia 2020–2050 Hasil Sensus Penduduk 2020 (Pertengahan tahun/Juni)/The result of2020–2050 Indonesia population projection result of 2020 Population Census (mid year/June),,,
