Kabupaten/Kota 17,,,,,,,
,Jumlah Murid (Jiwa),,,,,,
,SD,Madrasah Ibtidaiyah,SMP,Madrasah Tsanawiyah,SMA,Madrasah Aliyah,SMK
,2020,2020,2020,2020,2020,2020,2020
Sumatera Selatan,914988,96049,360523,84308,209176,47469,125183
Ogan Komering Ulu,40390,3987,15971,3193,10895,2082,5172
Ogan Komering Ilir,89783,8319,30160,9068,14589,4351,9522
Muara Enim,67638,6415,27518,5686,13311,3290,10075
Lahat,42134,3979,18303,4074,12823,1720,5965
Musi Rawas,43659,2843,17834,3228,11185,2413,2496
Musi Banyuasin,85925,6587,30600,5228,16429,2564,9091
Banyuasin,99326,8356,29809,9531,16386,6244,6561
Ogan Komering Ulu Selatan,39306,1999,13482,3982,8338,1775,2954
Ogan Komering Ulu Timur,65656,11835,23253,11209,11912,5797,10565
Ogan Ilir,45157,3197,16088,9123,8353,5818,6342
Empat Lawang,26752,884,11591,1737,7217,241,2531
Pali,26094,1396,10862,1232,6681,544,2899
Musi Rawas Utara,22936,2196,7678,1925,5721,895,835
Palembang,158177,28968,78644,9479,47573,5550,36701
Prabumulih,22295,1107,9726,1757,5471,853,5794
Pagar Alam,14082,2166,6345,1577,4415,896,2357
Lubuk Linggau,25678,1815,12659,2279,7877,2436,5323
