Kabupaten/Kota,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Ogan Komering Ulu,2520,137,474,611
Ogan Komering Ilir,5935,342,1233,1575
Muara Enim,4218,262,797,1059
Lahat,2838,264,766,1030
Musi Rawas,3135,...,...,...
Musi Banyuasin,4544,176,720,896
Banyu Asin,6161,201,754,955
Ogan Komering Ulu Selatan,2323,91,323,414
Ogan Komering Ulu Timur,4870,232,723,955
Ogan Ilir,3066,...,...,...
Empat Lawang,1838,...,...,...
Penukal Abab Lematang Ilir,1236,...,...,...
Musi Rawas Utara,1401,...,...,...
Kota Palembang,9664,684,2334,3018
Kota Prabumulih,1219,83,242,325
Kota Pagar Alam,1092,54,205,259
Kota Lubuklinggau,1828,343,1061,1404
Sumatera Selatan,57888,2869,9632,12501
,,,,
Keterangan,,,,
1Termasuk bedolan (nikah di luar KUA)/Including registration conducted outside the Religious Affairs Office (KUA)2Hanya untuk yang beragama Islam/Applies only for moslem3Data perceraian yang telah diputus oleh Pengadilan tetapi akta cerainya belum tercetak /<i>Divorce data that has been ruled but the divorce certificate has not been printed</i>4Data cerai Kepulauan Riau 2022 masih bergabung dengan Provinsi Riau/Data of divorces Kepulauan Riau 2022 were included in Riau Province5Data cerai Bali 2022 masih bergabung dengan Provinsi Nusa Tenggara Barat/Data of divorces Bali 2022 were included in Nusa Tenggara Barat Province6Data cerai Kalimantan Utara 2022 masih bergabung dengan Provinsi Kalimantan Timur/Data of divorces Kalimantan Utara 2022 were included in Kalimantan Timur Province7Data cerai Sulawesi Barat 2022 masih bergabung dengan Provinsi Sulawesi Selatan/Data of divorces 2022 were included in Sulawesi Selatan Province8Data cerai Papua Barat 022 masih bergabung dengan Provinsi Papua/Data of divorces 2022 were included in Papua Province,,,,
