Kabupaten/Kota 17,,,
,IMB Aneka Investasi (Juta Rupiah),,
,"Makanan, Minuman, dan Tembakau",Barang Kayu dan Hasil Hutan,Jumlah
,2022,2022,2022
Sumatera Selatan,1295172674,225852560,1521025234
Ogan Komering Ulu,-,-,-
Ogan Komering Ilir,93893751,12395500,106289251
Muara Enim,29684800,10044995,39729795
Lahat,-,-,-
Musi Rawas,738956678,1000000,739956678
Musi Banyuasin,73055000,79843900,152898900
Banyuasin,54033800,44919383,98953183
Ogan Komering Ulu Selatan,6960000,-,6960000
Ogan Komering Ulu Timur,760000,-,760000
Ogan Ilir,44790000,26153082,70943082
Empat Lawang,3500000,-,3500000
Pali,-,-,-
Musi Rawas Utara,-,-,-
Palembang,137740645,51495700,189236345
Prabumulih,104298000,-,104298000
Pagar Alam,8500000,-,8500000
Lubuk Linggau,-,-,-
