Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,376,360,736
5-9,395,377,772
10-14,391,372,763
15-19,361,338,699
20-24,358,338,696
25-29,362,344,706
30-34,356,339,696
35-39,350,335,684
40-44,328,315,643
45-49,302,292,594
50-54,262,255,516
55-59,215,212,427
60-64,170,169,340
65-69,125,126,250
70-74,81,85,166
75+,67,81,148
Jumlah/Total,4499,4338,8837
,,,
Keterangan,,,
Hasil Proyeksi Penduduk Indonesia 2020–2050 Hasil Sensus Penduduk 2020 (Pertengahan tahun/Juni)/The result of2020–2050 Indonesia population projection result of 2020 Population Census (mid year/June),,,
