Kabupaten/Kota 17,,,
,IMB Aneka Investasi (Juta Rupiah),,
,"Makanan, Minuman, dan Tembakau",Barang Kayu dan Hasil Hutan,Jumlah
,2020,2020,2020
Sumatera Selatan,808550182,425606,808975792
Ogan Komering Ulu,-,-,-
Ogan Komering Ilir,4780321,24791,4805112
Muara Enim,378086,3000,381086
Lahat,387162,-,387162
Musi Rawas,2453716,-,2453716
Musi Banyuasin,4977521,159687,5137209
Banyuasin,3462486,89838,3552325
Ogan Komering Ulu Selatan,6960,-,6960
Ogan Komering Ulu Timur,1826002,-,1826002
Ogan Ilir,1560581,46614,1607196
Empat Lawang,234972,-,234972
Pali,1574,-,1574
Musi Rawas Utara,420916,-,420916
Palembang,787959589,101676,788061266
Prabumulih,3482,-,3482
Pagar Alam,96814,-,96814
Lubuk Linggau,-,-,-
