Keadaan Tenaga Kerja,
,Keadaan Tenaga Kerja
,2024
Penduduk yang Bekerja (Orang),4480100
Penganggur (Orang),179709
Jumlah Angkatan Kerja (Orang),4659809
Tingkat Pengangguran (%),3.86
