Keadaan Tenaga Kerja,
,Keadaan Tenaga Kerja
,2021
Penduduk yang Bekerja (Orang),4179708
Penganggur (Orang),219199
Jumlah Angkatan Kerja (Orang),4398907
Tingkat Pengangguran (%),4.98
