Kabupaten/Kota,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
Ogan Komering Ulu,1016913,1403360,1111563,1102593
Ogan Komering Ilir,1494119,1471095,1462702,1483471
Muara Enim,1063038,1850563,1140320,1151158
Lahat,931336,1571798,1285844,1150807
Musi Rawas,1138086,1393337,1697939,1366729
Musi Banyuasin,1414135,1964120,1546774,1510526
Banyu Asin,1423786,1887581,1778779,1595335
Ogan Komering Ulu Selatan,1022366,1658790,1226038,1114470
Ogan Komering Ulu Timur,873615,1219436,1007804,961770
Ogan Ilir,986549,1117074,1183793,1099337
Empat Lawang,947775,1079317,930638,950500
Penukal Abab Lematang Ilir,907643,1866793,1433440,1162329
Musi Rawas Utara,1321836,1133694,1537910,1310878
Kota Palembang,1214811,1985343,1756712,1791355
Kota Prabumulih,1159109,1290742,1189510,1193848
Kota Pagar Alam,874578,1888217,1363278,1176785
Kota Lubuklinggau,833495,1568738,1318976,1232912
Sumatera Selatan,1190178,1602931,1484862,1372002
,,,,
Keterangan,,,,
"1 Pekerja Informal/ Informal Employee : Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/ Employment   status are self employed, casual agricultural worker, and casual non-agricultural worker ",,,,
"2 Pertanian: Pertanian, Perkebunan, Kehutanan, Perburuan, dan Perikanan/ Agriculture: Agriculture, Forestry, Hunting, and Fisherie ",,,,
" Industri: Pertambangan dan Penggalian, Industri, Listrik, Gas, dan Air Minum, Konstruksi/ Manufacture: Mining, Manufacturing Industry, Electricity, Gas,   Water, and Construction. ",,,,
" Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi, Transportasi, Pergudangan dan Komunikasi, Lembaga Keuangan, Real Estate, Usaha Persewaan dan Jasa Perusahaan, Jasa Kemasyarakatan, Sosial dan Perorangan/ Services: Wholesale Trade, Retail Trade, Restaurants and Hotels,   Transportation, Warehousing, and Communication, Financing, Insurance, Real Estate, Business Services, and Public Service ",,,,
