Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,368.8,353.9,722.7
5-9,387.1,369.6,756.6
10-14,398.2,380.8,779.1
15-19,369.1,347.9,717
20-24,356.1,335.2,691.2
25-29,360.5,342.2,702.7
30-34,356.5,339.6,696.1
35-39,352.9,337.1,690
40-44,335.2,321.6,656.8
45-49,311.7,301,612.7
50-54,275.6,268.4,544
55-59,228.9,225.9,454.8
60-64,182,183,365
65-69,135,137.8,272.8
70-74,90.7,95.3,186
75+,76.5,93.1,169.5
Jumlah/Total,4584.7,4432.4,9017.1
