Tahun,Kabupaten_Kota,SD,Madrasah Ibtidaiyah,SMP,Madrasah Tsanawiyah,SMA,Madrasah Aliyah,SMK
2022,Lahat,40950.0,4278.0,17800.0,4259.0,12243.0,1733.0,6213.0
2022,Musi Rawas,42706.0,2960.0,16501.0,3707.0,11405.0,2307.0,2671.0
2022,Musi Banyuasin,82820.0,6260.0,31861.0,6071.0,16530.0,2267.0,9209.0
2022,Banyuasin,96606.0,8282.0,30156.0,12299.0,16908.0,6448.0,7063.0
2022,Ogan Komering Ulu Selatan,36954.0,2178.0,13002.0,4262.0,8184.0,2020.0,2934.0
2022,Ogan Komering Ulu Timur,61833.0,12448.0,24528.0,12525.0,12493.0,5712.0,10710.0
2022,Ogan Ilir,44249.0,3567.0,15644.0,9462.0,8509.0,5787.0,6594.0
2022,Empat Lawang,25177.0,865.0,10019.0,1742.0,7316.0,282.0,2373.0
2022,Pali,24464.0,1306.0,11027.0,1420.0,6518.0,480.0,3195.0
2022,Musi Rawas Utara,22087.0,2206.0,7170.0,1961.0,5638.0,796.0,830.0
2022,Palembang,152816.0,28097.0,77095.0,11022.0,49691.0,5568.0,32871.0
2022,Prabumulih,22236.0,1451.0,9076.0,1957.0,5624.0,1058.0,5689.0
2022,Pagar Alam,13765.0,2387.0,6399.0,1676.0,4672.0,956.0,2416.0
2022,Lubuk Linggau,25203.0,1996.0,12308.0,2475.0,7845.0,2607.0,5090.0
2023,Sumatera Selatan,882011.0,98393.0,356480.0,91695.0,220114.0,48105.0,125925.0
2023,Ogan Komering Ulu,37535.0,4700.0,16153.0,3811.0,10777.0,2180.0,5155.0
2023,Ogan Komering Ilir,85678.0,8444.0,29785.0,8827.0,15159.0,4129.0,11124.0
2023,Muara Enim,66878.0,6772.0,26516.0,6048.0,13993.0,3562.0,10600.0
2023,Lahat,40715.0,4328.0,17644.0,4259.0,12421.0,1706.0,6464.0
2023,Musi Rawas,42414.0,2997.0,16179.0,3757.0,11742.0,2395.0,2710.0
2023,Musi Banyuasin,83108.0,6152.0,32845.0,5820.0,17024.0,2420.0,9586.0
2023,Banyuasin,97531.0,8429.0,30394.0,11803.0,17392.0,6465.0,7219.0
2023,Ogan Komering Ulu Selatan,36694.0,2204.0,13068.0,4094.0,8253.0,1978.0,2851.0
2023,Ogan Komering Ulu Timur,60641.0,12722.0,25081.0,12502.0,13462.0,5668.0,11323.0
2023,Ogan Ilir,44452.0,3677.0,15622.0,8936.0,9031.0,5742.0,6843.0
2023,Empat Lawang,24844.0,848.0,9773.0,1757.0,7395.0,283.0,2351.0
2023,Pali,24252.0,1309.0,11042.0,1424.0,6773.0,477.0,3380.0
2023,Musi Rawas Utara,21811.0,2253.0,7290.0,2023.0,5849.0,714.0,832.0
2023,Palembang,154102.0,27663.0,77027.0,10563.0,51944.0,5643.0,32361.0
2023,Prabumulih,22212.0,1487.0,9215.0,1858.0,5833.0,1021.0,5647.0
2023,Pagar Alam,13850.0,2338.0,6575.0,1651.0,4883.0,906.0,2418.0
2023,Lubuk Linggau,25294.0,2070.0,12271.0,2562.0,8183.0,2816.0,5061.0
2024,Sumatera Selatan,884020.0,98758.0,361146.0,82142.0,226406.0,47757.0,129320.0
2024,Ogan Komering Ulu,36557.0,4911.0,16587.0,3634.0,11523.0,2402.0,5833.0
2024,Ogan Komering Ilir,84874.0,8242.0,29788.0,7744.0,15893.0,4278.0,11147.0
2024,Muara Enim,66841.0,6942.0,27947.0,5400.0,13410.0,3211.0,10599.0
2024,Lahat,41318.0,4188.0,17429.0,3732.0,12052.0,1654.0,6431.0
2024,Musi Rawas,41613.0,2984.0,17102.0,3352.0,11390.0,2455.0,2834.0
2024,Musi Banyuasin,84655.0,6051.0,32611.0,5192.0,18491.0,2571.0,10101.0
2024,Banyuasin,98272.0,8667.0,31581.0,10481.0,17940.0,6495.0,7301.0
2024,Ogan Komering Ulu Selatan,37157.0,2312.0,13207.0,3738.0,8625.0,2055.0,2762.0
2024,Ogan Komering Ulu Timur,59722.0,12888.0,25346.0,11133.0,14451.0,5543.0,12846.0
2024,Ogan Ilir,44209.0,3723.0,15797.0,7690.0,9673.0,5267.0,6999.0
2024,Empat Lawang,24722.0,830.0,9189.0,2039.0,7065.0,291.0,2162.0
2024,Pali,23936.0,1222.0,10707.0,1363.0,7284.0,421.0,3654.0
2024,Musi Rawas Utara,21520.0,2127.0,7493.0,1970.0,5797.0,648.0,732.0
2024,Palembang,156829.0,27567.0,77675.0,8675.0,53080.0,5524.0,33408.0
2024,Prabumulih,21721.0,1728.0,9871.0,1695.0,6050.0,1010.0,5373.0
2024,Pagar Alam,14186.0,2193.0,6575.0,1646.0,5218.0,996.0,2400.0
2024,Lubuk Linggau,25888.0,2183.0,12241.0,2658.0,8464.0,2936.0,4738.0
