Tahun,Kabupaten_Kota,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
2021,"2 </sup>Pertanian: Pertanian, Perkebunan, Kehutanan, Perburuan, dan Perikanan/ <i>Agriculture: Agriculture, Forestry, Hunting, and Fisherie </i>",,,,
2021,"Industri: Pertambangan dan Penggalian, Industri, Listrik, Gas, dan Air Minum, Konstruksi/ <i>Manufacture: Mining, Manufacturing Industry, Electricity, Gas,   Water, and Construction. </i>",,,,
2021,"Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi, Transportasi, Pergudangan dan Komunikasi, Lembaga Keuangan, Real Estate, Usaha Persewaan dan Jasa Perusahaan, Jasa Kemasyarakatan, Sosial dan Perorangan/<i> Services: Wholesale Trade, Retail Trade, Restaurants and Hotels,   Transportation, Warehousing, and Communication, Financing, Insurance, Real Estate, Business Services, and Public Service</i>",,,,
2022,Ogan Komering Ulu,14721860.0,14943420.0,18033890.0,15931900.0
2022,Ogan Komering Ilir,25546720.0,18043860.0,23496280.0,24226210.0
2022,Muara Enim,15554720.0,17681850.0,13628750.0,14942040.0
2022,Lahat,13863600.0,21499530.0,16094230.0,15132100.0
2022,Musi Rawas,17601920.0,17976950.0,19813380.0,18283490.0
2022,Musi Banyuasin,18352320.0,23588210.0,17671160.0,18604150.0
2022,Banyu Asin,21955820.0,22661020.0,23405770.0,22492310.0
2022,Ogan Komering Ulu Selatan,16811440.0,,19482290.0,17598250.0
2022,Ogan Komering Ulu Timur,13831080.0,18698530.0,16354610.0,15279320.0
2022,Ogan Ilir,13558020.0,12330340.0,16876760.0,14476740.0
2022,Empat Lawang,7344250.0,13946430.0,11484480.0,8858910.0
2022,Penukal Abab Lematang Ilir,13518780.0,,11760550.0,13506210.0
2022,Musi Rawas Utara,15660760.0,17793890.0,13622760.0,15573700.0
2022,Kota Palembang,15468350.0,28713310.0,24215560.0,24872880.0
2022,Kota Prabumulih,12077460.0,14459230.0,17941670.0,15906370.0
2022,Kota Pagar Alam,10197460.0,17135660.0,14288040.0,12702760.0
2022,Kota Lubuklinggau,13288110.0,17348780.0,20093390.0,18413620.0
2022,Sumatera Selatan,16992500.0,21036370.0,20131180.0,18791070.0
2022,"Manufacture: Mining, Manufacturing Industry, Electricity, Gas, Water, and Construction.",,,,
2022,"Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi, Transportasi, Pergudangan dan Komunikasi, Lembaga Keuangan, Real Estate, Usaha Persewaan dan Jasa Perusahaan, Jasa Kemasyarakatan, Sosial dan Perorangan/",,,,
2022,"Services: Wholesale Trade, Retail Trade, Restaurants and Hotels,   Transportation, Warehousing, and Communication, Financing, Insurance, Real Estate, Business Services, and Public Service",,,,
2023,Ogan Komering Ulu,11646430.0,17723680.0,15484050.0,13890320.0
2023,Ogan Komering Ilir,19132300.0,27732510.0,21989100.0,21050530.0
2023,Muara Enim,14074790.0,20602470.0,14994290.0,14874700.0
2023,Lahat,14247450.0,21770250.0,15035970.0,15970630.0
2023,Musi Rawas,16639240.0,18767380.0,17185780.0,16943380.0
